aphA16	1
armA	1
bcrA	1
bcrB	1
bcrC	1
bla2a	1
blaAAK	1
blaACI	1
blaAER	1
blaALG11	1
blaALG6	1
blaAMZ	1
blaANA	1
blaAST	1
blaASU1	1
blaB1PEDO	1
blaB3SU1	1
blaB3SU2	1
blaBAT	1
blaBBI	1
blaBCL	1
blaBES	1
blaBIM	1
blaBOR	1
blaBPU	1
blaBSU	1
blaC	1
blaCAE	1
blaCAR	1
blaCBP	1
blaCDA	1
blaCGA	1
blaCHM	1
blaCPS	1
blaCRD3	1
blaCRP	1
blaCVI	1
blaDES	1
blaDHT2	1
blaDIM	1
blaDYB	1
blaE	1
blaEAM	1
blaECM	1
blaECV	1
blaEFM	1
blaELM	1
blaERP	1
blaESP	1
blaEVM	1
blaF	1
blaFAR	1
blaFEZ	1
blaFIA	1
blaFIM	1
blaFPH	1
blaFTU	1
blaGIL	1
blaGMB	1
blaGPC	1
blaGRD23	1
blaGRD33	1
blaHBL	1
blaI	1
blaIII	1
blaJOHN	1
blaKBL	1
blaL2	1
blaLAQ	1
blaLCR	1
blaLMB	1
blaLRA1	1
blaLRA10	1
blaLRA12	1
blaLRA17	1
blaLRA18	1
blaLRA19	1
blaLRA2	1
blaLRA3	1
blaLRA5	1
blaLRA7	1
blaLRA8	1
blaLRA9	1
blaLRG	1
blaLUS	1
blaM	1
blaMAB	1
blaMCA	1
blaMOC	1
blaMSI	1
blaMYO	1
blaMYX	1
blaNPS	1
blaNWM	1
blaOHIO	1
blaOKP-C	1
blaOKP-D	1
blaORR	1
blaOXA/blaLRA13	1
blaPAC	1
blaPAD	1
blaPAU	1
blaPEN-E	1
blaPEN-F	1
blaPEN-H	1
blaPEN-I	1
blaPEN-J	1
blaPEN-L	1
blaPEN-M	1
blaPEN-N	1
blaPEN-bcc	1
blaPLN	1
blaPME	1
blaPNC	1
blaPNGM	1
blaPRC	1
blaPSV	1
blaPSZ	1
blaR39	1
blaRAA	1
blaRAD	1
blaRASA	1
blaRCP	1
blaRHO	1
blaRSA2	1
blaRSC1	1
blaRSD1	1
blaRUB	1
blaRm3	1
blaS	1
blaSCO	1
blaSFDC	1
blaSFH	1
blaSHD	1
blaSHN	1
blaSIE	1
blaSMB	1
blaSPG	1
blaSPM	1
blaSPN79	1
blaSPR	1
blaSPS	1
blaSTA	1
blaTHIN-B	1
blaTRU	1
blaTTU	1
blaTUS	1
blaVAM	1
blaVCC	1
blaVHH	1
blaVHW	1
blaVMB	1
blaWUS	1
blaYEM	1
blaYOC	1
blaYRC	1
blaZOG	1
ble-Sh	1
bleO	1
blmA	1
blmB	1
car(A)	1
cat-TC	1
cat86	1
catA15	1
catB1	1
catB7	1
catB8/aac(6')-Ib'	1
catB9	1
catD	1
catP	1
catU	1
catV	1
cblA	1
cepH	1
cepS	1
cfr(C)	1
cfr(D)	1
cfr(E)	1
cfxA3	1
cfxA4	1
cfxA5	1
cfxA6	1
chrB	1
cipA	1
clbA	1
clbB	1
clbC	1
cmeB	1
cmlB	1
cmlB1	1
cmlR	1
cmlV	1
crpP	1
crxA	1
dfrA10	1
dfrA18	1
dfrA20	1
dfrA21	1
dfrA23	1
dfrA24	1
dfrA26	1
dfrA27	1
dfrA29	1
dfrA3	1
dfrA30	1
dfrA31	1
dfrA32	1
dfrA34	1
dfrA35	1
dfrA36	1
dfrA37	1
dfrA38	1
dfrA39	1
dfrA3b	1
dfrA4	1
dfrA40	1
dfrA41	1
dfrA42	1
dfrA43	1
dfrA44	1
dfrA45	1
dfrA46	1
dfrA47	1
dfrA48	1
dfrA6	1
dfrA8	1
dfrA9	1
dfrB5	1
dfrC	1
dfrD	1
dfrE	1
dfrF	1
dfrG	1
dfrI	1
dfrL	1
emtA	1
ere(D)	1
erm(30)	1
erm(31)	1
erm(33)	1
erm(34)	1
erm(35)	1
erm(36)	1
erm(37)	1
erm(38)	1
erm(39)	1
erm(40)	1
erm(43)	1
erm(44)	1
erm(44)v	1
erm(45)	1
erm(47)	1
erm(48)	1
erm(49)	1
erm(50)	1
erm(51)	1
erm(52)	1
erm(53)	1
erm(54)	1
erm(56)	1
erm(H)	1
erm(K)	1
erm(N)	1
erm(Q)	1
erm(R)	1
erm(S)	1
erm(V)	1
erm(W)	1
erm(Y)	1
erm(Z)	1
estDL136	1
estT	1
estX/sat2	1
fexB	1
floR2	1
fomA	1
fomB	1
fosA8	1
fosC	1
fosC2	1
fosD	1
fosE	1
fosF	1
fosG	1
fosI	1
fosK	1
fosM1	1
fosM2	1
fosM3	1
fosXCC	1
fosY	1
fusC	1
fusD	1
fusH	1
grdA	1
grm	1
iri	1
lnu(AN2)	1
lnu(C)	1
lnu(D)	1
lnu(E)	1
lnu(G)	1
lnu(H)	1
lnu(I)	1
lnu(P)	1
lsa(B)	1
lsa(C)	1
lsa(D)	1
lsa(E)	1
mcr-6	1
mcr-7	1
mecC	1
mecC2	1
mecC3	1
mecD	1
mecR1	1
mef(B)	1
mef(C)	1
mef(D)	1
mef(En2)	1
mef(H)	1
mef(J)	1
mph(B)	1
mph(F)	1
mph(G)	1
mphH	1
mphJ	1
mphK	1
mphL	1
mphN	1
msr(E)	1
msr(G)	1
msr
